City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
12,ciudad acuna,29.3232,-100.9522,26.16,26,0,2.57,MX,1701462875
13,port-aux-francais,-49.35,70.2167,3.39,79,90,11.24,TF,1701462875
14,la'ie,21.6477,-157.9253,22.98,74,100,1.08,US,1701462875
15,dingli,35.8614,14.3822,19.34,73,0,5.14,MT,1701462876
16,ilulissat,69.2167,-51.1,1.01,47,20,10.8,GL,1701462876
17,lihue,21.9789,-159.3672,22.77,88,100,3.6,US,1701462877
18,waitangi,-43.9535,-176.5597,13.23,74,46,1.79,NZ,1701462877
19,ushuaia,-54.8,-68.3,10.79,70,75,8.23,AR,1701462877
20,ribeira grande,38.5167,-28.7,17.65,72,75,7.6,PT,1701462877
21,mount pearl,47.5166,-52.7813,2.81,90,75,8.23,CA,1701462878
22,ridgecrest,35.6225,-117.6709,14.82,31,20,0.89,US,1701462783
23,bethel,41.3712,-73.414,8.44,73,75,1.54,US,1701462878
24,hamilton,39.1834,-84.5333,10.69,94,100,3.09,US,1701462678
25,port alfred,-33.5906,26.891,18.99,89,87,3.58,ZA,1701462879
26,olonkinbyen,70.9221,-8.7187,-2.04,71,100,4.67,SJ,1701462880
27,adamstown,-25.066,-130.1015,22.07,70,15,4.23,PN,1701462880
28,jaciara,-15.9653,-54.9683,34.83,25,96,0.26,BR,1701462880
29,hasaki,35.7333,140.8333,0.22,54,1,2.62,JP,1701462881
30,magadan,59.5667,150.8,-8.3,79,100,4.77,RU,1701462663
31,arraial do cabo,-22.9661,-42.0278,26.92,83,75,4.63,BR,1701462882
32,qaqortoq,60.7167,-46.0333,-1.32,93,100,1.68,GL,1701462882
33,choibalsan,48.0667,114.5,-15.83,82,4,4.13,MN,1701462883
34,tolanaro,-25.0319,46.9987,21.04,83,75,2.57,MG,1701462883
35,college,64.8569,-147.8028,-18.84,79,0,1.54,US,1701462884
36,papatowai,-46.5619,169.4708,13.99,65,100,1.56,NZ,1701462887
37,jamestown,42.097,-79.2353,5.77,99,100,2.57,US,1701462888
38,itamarandiba,-17.8572,-42.8589,25.95,55,34,1.19,BR,1701462888
39,avarua,-21.2078,-159.775,27.03,86,75,7.72,CK,1701462888
40,enewetak,11.3474,162.3373,27.41,79,89,9.09,MH,1701462889
41,kaa-khem,51.6833,94.7333,-16.61,96,100,0.55,RU,1701462889
42,beipiao,41.7919,120.7792,-5.18,41,95,2.28,CN,1701462889
43,antalaha,-14.9003,50.2788,24.38,91,98,3.13,MG,1701462890
44,cotonou,6.3654,2.4183,28.99,79,40,4.63,BJ,1701462890
45,la ronge,55.1001,-105.2842,-5.86,63,20,1.54,CA,1701462890
46,rio grande,-32.035,-52.0986,29.06,83,0,9.14,BR,1701462698
47,macusani,-14.0833,-70.4333,4.82,94,99,2.55,PE,1701462891
48,osternienburger land,51.8015,12.0257,-3.58,98,96,1.89,DE,1701462891
49,ribeira brava,32.65,-17.0667,18.35,63,24,3.9,PT,1701462891
50,longyearbyen,78.2186,15.6401,-10.09,67,0,9.77,SJ,1701462892
51,noumea,-22.2763,166.4572,27.99,99,0,0.09,NC,1701462823
52,borazjan,29.2666,51.2159,17.42,60,2,0.58,IR,1701462892
53,chonchi,-42.6128,-73.8092,13.4,66,100,3.28,CL,1701462733
54,jindabyne,-36.4167,148.6333,13.23,93,100,0.79,AU,1701462893
55,sojat,25.9167,73.6667,17.46,58,0,4.12,IN,1701462893
56,punta arenas,-53.15,-70.9167,8.06,66,75,9.26,CL,1701462893
57,bredasdorp,-34.5322,20.0403,17.16,73,60,1.88,ZA,1701462894
58,armacao de buzios,-22.7469,-41.8817,27.03,90,88,1.52,BR,1701462819
59,puerto aysen,-45.4,-72.7,6.08,99,100,2.33,CL,1701462894
60,iqaluit,63.7506,-68.5145,-6.15,85,100,7.72,CA,1701462894
61,along,28.1667,94.7667,12.33,63,40,0.83,IN,1701462895
62,severnoye,56.3491,78.3619,-7.23,95,97,2.68,RU,1701462895
63,aasiaat,68.7098,-52.8699,-7.86,85,62,3.35,GL,1701462895
64,kalmunai,7.4167,81.8167,24.68,89,100,5.16,LK,1701462896
65,isafjordur,66.0755,-23.124,-3.38,82,51,1.07,IS,1701462896
66,chemin grenier,-20.4872,57.4656,22.77,81,15,1.24,MU,1701462896
67,mbanza-ngungu,-5.25,14.8667,19.92,97,84,1.56,CD,1701462897
68,wobulenzi,0.7283,32.5122,17.79,86,5,0.72,UG,1701462898
69,severobaykal'sk,55.65,109.3167,-11.39,91,99,1.83,RU,1701462751
70,priozersk,61.0393,30.1291,-2.73,86,100,2.48,RU,1701462899
71,weno,7.4515,151.8468,26.97,89,75,1.54,FM,1701462899
72,rehoboth,-23.3167,17.0833,22.76,53,98,4.81,NA,1701462899
73,ashburton,-37.8626,145.0794,15.98,90,100,1.79,AU,1701462899
74,woolgoolga,-30.1106,153.2007,21.93,59,1,1.86,AU,1701462900
75,alice town,25.7167,-79.3,25.57,82,99,4.95,BS,1701462900
76,camocim,-2.9022,-40.8411,27.29,80,8,6.81,BR,1701462900
77,moranbah,-22.0016,148.0466,25.25,74,67,6.38,AU,1701462901
78,salalah,17.0151,54.0924,26.05,47,0,2.57,OM,1701462901
79,chandler,33.3062,-111.8412,18.49,57,0,0.89,US,1701462836
80,pratt,37.6439,-98.7376,7.34,52,0,3.6,US,1701462902
81,sparti,37.0733,22.4297,15.53,82,100,1.1,GR,1701462902
82,mili,6.0815,171.735,28.09,78,96,8.6,MH,1701462903
83,maicanesti,45.5,27.5,11.59,73,100,8.38,RO,1701462903
84,boa vista,2.8197,-60.6733,33.99,38,75,5.66,BR,1701462678
85,fatezh,52.0891,35.8632,-0.57,90,100,4.99,RU,1701462904
86,okhotsk,59.3833,143.3,-27.04,88,26,4.65,RU,1701462748
87,badger,64.8,-147.5333,-18.89,82,20,1.54,US,1701462905
88,tiksi,71.6872,128.8694,-33.73,100,89,2.8,RU,1701462905
89,vyatskiye polyany,56.226,51.0656,-10.96,97,98,1.65,RU,1701462906
90,cuddalore,11.75,79.75,24.62,87,100,6.98,IN,1701462906
91,gaiman,-43.2897,-65.4929,23.24,12,58,10.36,AR,1701462907
92,wailua homesteads,22.0669,-159.378,22.44,88,100,3.6,US,1701462907
93,crane,31.3974,-102.3501,18.38,29,59,5.7,US,1701462908
94,constantia,44.1833,28.65,12.61,78,81,4.42,RO,1701462908
95,san julian,21.0167,-102.1667,21.45,37,100,6.35,MX,1701462908
96,puerto natales,-51.7236,-72.4875,7.77,58,72,6.29,CL,1701462909
97,haiku-pauwela,20.9219,-156.3051,25.09,80,40,7.72,US,1701462909
98,olinda,-8.0089,-34.8553,28.85,70,40,5.14,BR,1701462909
99,tazacorte,28.629,-17.9293,20.54,80,20,4.63,ES,1701462910
100,bangassou,4.7413,22.8184,22.95,85,94,0.99,CF,1701462910
101,aykhal,66.0,111.5,-30.38,100,100,2.56,RU,1701462910
102,el calafate,-50.3408,-72.2768,8.2,44,16,7.65,AR,1701462809
103,chapada dos guimaraes,-15.4606,-55.7497,27.81,19,53,2.04,BR,1701462911
104,thompson,55.7435,-97.8558,-14.91,78,75,4.12,CA,1701462911
105,laguna,38.421,-121.4238,16.71,50,0,2.06,US,1701462912
106,nichinan,31.6,131.3667,5.82,80,12,2.79,JP,1701462912
107,port elizabeth,-33.918,25.5701,20.61,78,0,6.17,ZA,1701462912
108,blackmans bay,-43.0167,147.3167,12.07,91,100,1.07,AU,1701462913
109,urengoy,65.9667,78.3667,-21.67,81,100,3.81,RU,1701462913
110,mejit,10.2753,170.8646,27.74,75,97,8.46,MH,1701462913
111,udachny,66.4167,112.4,-26.82,96,100,4.89,RU,1701462914
112,ponta delgada,37.7333,-25.6667,17.33,59,40,3.6,PT,1701462914
113,saipan,15.1355,145.701,27.39,83,75,6.17,MP,1701462914
114,kodiak,57.79,-152.4072,2.73,87,100,4.63,US,1701462725
115,revda,56.801,59.9303,-10.72,98,92,0.99,RU,1701462915
116,baraki barak,33.9675,68.9486,4.87,57,4,0.21,AF,1701462916
117,afaahiti,-17.75,-149.2833,29.93,83,50,7.53,PF,1701462916
118,la passe,45.5549,-0.8967,6.13,86,97,5.45,FR,1701462916
119,kiunga,-6.1219,141.2906,23.6,99,100,1.02,PG,1701462917
120,talnakh,69.4865,88.3972,-22.11,90,100,2.58,RU,1701462917
121,ancud,-41.8697,-73.8203,10.32,60,100,5.48,CL,1701462917
122,natal,-5.795,-35.2094,28.36,69,20,6.69,BR,1701462918
123,hadibu,12.65,54.0333,25.32,69,27,7.19,YE,1701462918
124,saint-philippe,-21.3585,55.7679,24.77,80,78,1.83,RE,1701462919
125,sumbawa besar,-8.5,117.4333,24.44,93,100,1.61,ID,1701462919
126,barra de santo antonio,-9.4047,-35.5072,28.6,77,69,4.43,BR,1701462919
127,georgetown,5.4112,100.3354,26.12,92,40,2.57,MY,1701462920
128,noyabrsk,63.1994,75.4507,-21.27,100,97,2.91,RU,1701462920
129,kununurra,-15.7667,128.7333,26.99,78,86,0.51,AU,1701462920
130,hawaiian paradise park,19.5933,-154.9731,25.02,96,100,3.6,US,1701462921
131,east london,-33.0153,27.9116,20.78,71,70,9.28,ZA,1701462921
132,vilhena,-12.7406,-60.1458,31.12,55,40,3.6,BR,1701462921
133,nadym,65.5333,72.5167,-16.93,97,87,4.01,RU,1701462922
134,codrington,-38.2667,141.9667,14.55,77,93,6.29,AU,1701462922
135,anadyr,64.75,177.4833,-10.72,92,100,3.0,RU,1701462922
136,al bardiyah,31.7561,25.0865,18.32,58,0,3.69,LY,1701462923
137,vorgashor,67.5833,63.95,-12.27,91,100,1.65,RU,1701462923
138,tuy hoa,13.0833,109.3,24.17,94,100,2.9,VN,1701462924
139,stowbtsy,53.4785,26.7434,-8.74,95,54,2.58,BY,1701462924
140,mahdia,35.5047,11.0622,20.97,25,73,9.57,TN,1701462924
141,bir el ater,34.7449,8.0602,10.82,30,100,3.89,DZ,1701462925
142,pisco,-13.7,-76.2167,25.03,61,0,6.17,PE,1701462925
143,hauterive,46.0901,3.4459,4.42,96,100,3.31,FR,1701462925
144,brandon,27.9378,-82.2859,29.18,72,40,3.09,US,1701462765
145,moree,-29.4667,149.85,20.79,69,27,3.41,AU,1701462926
146,mudanya,40.3753,28.8822,15.31,69,31,2.83,TR,1701462926
147,morondava,-20.2833,44.2833,26.35,72,100,3.3,MG,1701462927
148,taitung city,22.7583,121.1444,19.9,81,86,6.82,TW,1701462927
149,awjilah,29.1081,21.2869,16.68,30,0,3.02,LY,1701462927
150,vallenar,-28.5708,-70.7581,25.88,25,0,3.9,CL,1701462927
151,hermanus,-34.4187,19.2345,17.29,82,37,4.33,ZA,1701462928
152,ketchikan,55.3422,-131.6461,5.99,87,75,4.12,US,1701462928
153,lashio,22.9333,97.75,16.79,86,100,0.47,MM,1701462928
154,igarka,67.4667,86.5833,-18.03,89,100,3.53,RU,1701462929
155,ust'-kalmanka,52.1207,83.305,0.51,80,92,9.75,RU,1701462929
156,susuman,62.7833,148.1667,-23.1,100,100,1.25,RU,1701462802
157,kolwezi,-10.7148,25.4667,15.59,98,100,0.33,CD,1701462930
158,stanley,54.868,-1.6985,-1.83,100,20,2.06,GB,1701462930
159,colesberg,-30.72,25.0972,27.58,18,82,6.08,ZA,1701462930
160,margaret river,-33.95,115.0667,16.03,88,100,2.87,AU,1701462931
161,naze,28.3667,129.4833,14.51,65,97,6.16,JP,1701462931
162,nagqu,31.5,92.0,-7.73,92,59,1.51,CN,1701462931
163,bibir hat,22.6873,91.7853,18.7,86,100,1.57,BD,1701462932
164,luderitz,-26.6481,15.1594,17.92,81,79,6.99,NA,1701462932
165,waingapu,-9.6567,120.2641,26.61,84,100,1.49,ID,1701462932
166,west island,-12.1568,96.8225,24.99,78,40,3.09,CC,1701462933
167,knyaze-volkonskoye,48.4642,135.4567,-15.81,90,63,4.02,RU,1701462933
168,tshabong,-26.05,22.45,29.0,22,0,5.25,BW,1701462933
169,tongren,27.7172,109.1853,6.08,82,93,0.69,CN,1701462934
170,brookings,44.3114,-96.7984,1.21,63,0,0.0,US,1701462734
171,geraldton,-28.7667,114.6,17.23,88,0,1.54,AU,1701462934
172,iowa park,33.9515,-98.6687,11.64,57,0,3.09,US,1701462935
173,port isabel,26.0734,-97.2086,25.57,82,100,5.14,US,1701462935
174,vilyuchinsk,52.9306,158.4028,-7.26,83,11,5.36,RU,1701462936
175,samana,19.2056,-69.3369,31.12,74,40,4.12,DO,1701462936
176,takoradi,4.8845,-1.7554,26.95,85,36,3.4,GH,1701462936
177,alofi,-19.0595,-169.9187,28.94,74,20,4.12,NU,1701462937
178,togur,58.3631,82.8265,-9.36,98,98,1.79,RU,1701462937
179,arkhangel'sk,64.5401,40.5433,-8.94,92,100,4.0,RU,1701462937
180,santo antonio,-6.3106,-35.4789,25.93,73,6,6.25,BR,1701462938
181,island harbour,50.724,-1.2758,1.11,91,50,2.68,GB,1701462938
182,san antonio de pale,-1.4014,5.6325,26.65,80,100,3.37,GQ,1701462938
183,san cristobal,7.7669,-72.225,27.1,52,16,2.3,VE,1701462939
184,labuan,5.2767,115.2417,26.2,94,20,1.03,MY,1701462939
185,mora,11.0461,14.1401,25.04,23,12,2.25,CM,1701462939
186,northam,51.0333,-4.2167,0.77,78,96,2.12,GB,1701462940
187,enshi,30.3,109.4833,7.55,94,100,0.47,CN,1701462940
188,kokpekty,48.75,82.4,-5.15,94,100,0.62,KZ,1701462940
189,macomer,40.262,8.7699,11.31,74,7,4.22,IT,1701462941
190,ataq,14.5377,46.8319,18.31,35,14,1.47,YE,1701462941
191,callao,-12.0667,-77.15,22.16,68,40,5.66,PE,1701462738
192,kaihua,23.3687,104.28,14.48,96,100,2.48,CN,1701462941
193,keflavik,64.0049,-22.5624,0.24,69,20,4.63,IS,1701462942
194,kenora,49.8167,-94.4337,-3.46,74,75,3.09,CA,1701462679
195,labasa,-16.4167,179.3833,30.26,61,91,2.82,FJ,1701462943
196,laojunmiao,39.8333,97.7333,-4.14,21,97,1.18,CN,1701462943
197,hammerfest,70.6634,23.6821,-5.75,73,40,4.63,NO,1701462943
198,shingu,33.7333,135.9833,5.28,74,4,3.66,JP,1701462943
199,bowling green,36.9903,-86.4436,14.32,90,100,5.14,US,1701462691
200,khilok,51.3674,110.4676,-15.19,94,47,1.65,RU,1701462944
201,quellon,-43.1167,-73.6167,9.67,68,100,5.13,CL,1701462944
202,onega,63.9061,38.1404,-10.56,96,100,2.12,RU,1701462945
203,muravlenko,63.7898,74.523,-19.12,100,95,3.85,RU,1701462945
204,port moresby,-9.4431,147.1797,25.68,89,40,1.54,PG,1701462945
205,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,81,0,7.6,RU,1701462646
206,nuku'alofa,-21.1333,-175.2,28.19,83,40,4.63,TO,1701462946
207,sechura,-5.5569,-80.8222,26.75,58,84,7.61,PE,1701462946
208,dalby,-27.1833,151.2667,22.2,81,2,6.38,AU,1701462946
209,maswa,-2.6833,33.9833,19.71,85,100,1.34,TZ,1701462947
210,caleta de carquin,-11.0925,-77.6267,22.25,74,62,5.35,PE,1701462947
211,nuuk,64.1835,-51.7216,1.34,86,75,3.6,GL,1701462922
212,rongelap,11.1635,166.8941,27.91,71,100,8.53,MH,1701462948
213,bel ombre,-4.6167,55.4167,26.91,83,20,0.0,SC,1701462948
214,floro,61.5996,5.0328,-1.02,93,75,2.06,NO,1701462948
215,mandalgovi,45.7625,106.2708,-7.65,48,0,3.04,MN,1701462949
216,rizhao,35.4275,119.4553,-0.42,40,0,3.04,CN,1701462949
217,villa gesell,-37.2639,-56.973,18.92,93,97,1.38,AR,1701462949
218,north haven,41.3909,-72.8595,9.4,81,100,2.57,US,1701462849
219,laurel,39.0993,-76.8483,9.97,87,100,0.0,US,1701462950
220,mitu,1.1983,-70.1733,27.04,88,83,1.25,CO,1701462950
221,bechar,31.6167,-2.2167,16.18,17,53,2.06,DZ,1701462950
222,holualoa,19.6228,-155.9522,26.59,75,40,2.57,US,1701462951
223,kelso,46.1468,-122.9084,9.43,93,100,4.12,US,1701462951
224,general villegas,-35.0328,-63.0125,29.81,40,10,4.03,AR,1701462951
225,ardakan,32.31,54.0175,12.63,38,16,3.07,IR,1701462952
226,suances,43.4334,-4.0434,12.77,89,75,4.12,ES,1701462952
227,upington,-28.4478,21.2561,22.21,73,78,6.17,ZA,1701462864
228,morant bay,17.8815,-76.4093,32.79,73,34,5.76,JM,1701462953
229,urangan,-25.3,152.9,24.95,88,62,5.77,AU,1701462953
230,pauini,-7.7136,-66.9764,26.39,80,89,1.49,BR,1701462953
231,mount gambier,-37.8333,140.7667,14.04,78,100,4.39,AU,1701462655
232,torghay,49.6339,63.4981,0.6,71,97,4.21,KZ,1701462954
233,gizo,-8.103,156.8419,27.92,80,100,3.34,SB,1701462954
